gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7023,TFAP4,903.00173610113,-0.581372636488548,0.25331542651966,-2.29505421156586,0.0217300176987248,0.0490736024191475
171017,ZNF384,2455.16470888402,-0.582091778739933,0.188154005345592,-3.09369857777291,0.00197678212129861,0.00632299044417989
6879,TAF7,4752.84428589231,-0.582522305331917,0.194620895932926,-2.99311285429842,0.00276147615509753,0.00840308464238605
506,ATP5F1B,34503.0743823254,-0.582584871519536,0.183608596719129,-3.17297164691439,0.00150887259005406,0.00498931831449486
157697,ERICH1,588.429187913317,-0.584142256573618,0.2217844575493,-2.63382864168365,0.00844280855489617,0.021857096393704
51006,SLC35C2,2815.67198690685,-0.584644324372337,0.185902861872894,-3.14489146903005,0.00166148455270276,0.00542795971154914
65980,BRD9,1983.26322901928,-0.585337809496261,0.218573753898255,-2.6779876314369,0.00740659533209372,0.0195255721315373
7343,UBTF,6237.86826903085,-0.585439022705384,0.127406375645553,-4.59505279652635,4.32639711543245e-06,2.85635564107883e-05
84271,POLDIP3,4614.45088908744,-0.585550260529912,0.14551594868685,-4.02395933788685,5.72278022244525e-05,0.000282133641278758
203245,NAIF1,583.795994535263,-0.586089354603056,0.175001032275295,-3.34906227113607,0.000810855692880576,0.0029086235900325
8242,KDM5C,6104.06420568598,-0.586093340504171,0.22529773045508,-2.60141697530782,0.00928395341683807,0.0236839989328456
7841,MOGS,3832.12298834678,-0.586217626401725,0.166309247723521,-3.52486487928967,0.000423698851871529,0.00164229432251549
112970,KTI12,541.751731113688,-0.586646918346272,0.170935910494597,-3.43197000939609,0.000599213818370654,0.00222315365504626
51524,TMEM138,1176.64147307601,-0.586778869780002,0.212567468746794,-2.76043589002305,0.00577242862749679,0.0157981407943595
55316,RSAD1,997.996685714221,-0.586798835810027,0.225956615367631,-2.59695355612982,0.00940546405131529,0.0239658812040151
8220,ESS2,1242.97436992345,-0.587505870963015,0.190547666011979,-3.08324884402458,0.00204753861695238,0.00651631743818651
162,AP1B1,9321.62522112753,-0.588284914776296,0.19403778903269,-3.031805905999,0.00243095461145271,0.0075261586089276
27102,EIF2AK1,7694.87513291113,-0.588399092246682,0.154308440081545,-3.81313615726879,0.00013721446915275,0.000610944459970246
26608,TBL2,2177.37796912922,-0.588423175645201,0.196975787290601,-2.98728683224955,0.00281465507360636,0.00853821132440088
92856,IMP4,2058.0867812852,-0.5888309301072,0.243619233040616,-2.41701331523785,0.0156484446824542,0.0369769330000986
25979,DHRS7B,1064.79395974295,-0.589631494414303,0.243533363146123,-2.42115284245681,0.0154713707217491,0.0366411146119521
808,CALM3,10282.105380476,-0.590272652095061,0.198462507657809,-2.97422752066005,0.0029372719532354,0.00886387107231555
55324,ABCF3,3723.13444972182,-0.592202610729274,0.20218758447653,-2.92897613996677,0.00340080526580749,0.0100051936170436
23016,EXOSC7,1446.79088045042,-0.592355339748341,0.249908821162111,-2.37028583862629,0.0177743378933016,0.0412585448822465
1376,CPT2,1347.78415795161,-0.592613669748512,0.183251451941954,-3.2338825339088,0.00122119671943691,0.00414086132640926
5094,PCBP2,17158.4766611216,-0.592837109449419,0.149615068283214,-3.96241579308847,7.41951795269303e-05,0.000354969461396616
5018,OXA1L,4447.78158864421,-0.593041906721951,0.184841122803822,-3.20838727728011,0.00133481622707174,0.00447728183599156
5861,RAB1A,8305.14612552107,-0.594090625794636,0.162380268358779,-3.65863803403744,0.000253559162296491,0.0010466263735434
7014,TERF2,1252.36060274068,-0.59496726119485,0.1506875136011,-3.9483514391899,7.86912255735835e-05,0.00037401251921891
81559,TRIM11,1679.50126354844,-0.595884118378331,0.218646022499598,-2.72533710682721,0.00642358643579894,0.0172997757647937
10960,LMAN2,7804.58874486522,-0.596158284040993,0.240377747158349,-2.48008932227937,0.0131349474114046,0.0317933918677533
10102,TSFM,1546.67222011006,-0.597777847444183,0.209670558407749,-2.85103379312644,0.00435773378747075,0.012379681274663
5879,RAC1,17377.9668658299,-0.597923321448849,0.203097231242351,-2.94402497656584,0.00323973853148928,0.00963263891946904
801,CALM1,21498.0353910592,-0.598593441557132,0.223173412173661,-2.68218976322924,0.00731419572478865,0.0193236077553712
6397,SEC14L1,3695.33314685734,-0.599009785045531,0.246428228779994,-2.43076772499272,0.0150668701067161,0.0358057585472955
473,RERE,3720.49111625199,-0.59929701587433,0.226217606067492,-2.64920589644791,0.00806811611386578,0.021009288529484
27343,POLL,901.020936849373,-0.599482496882284,0.202925791371207,-2.95419568321735,0.00313485160023209,0.00936343258629421
84881,RPUSD4,1130.97923764009,-0.599934696270313,0.228563991090463,-2.62479970448567,0.00866999525921071,0.0223536335965588
84364,ARFGAP2,4579.1655524948,-0.601754808580167,0.202367288870795,-2.97357745877778,0.00294350103129686,0.00887993178167543
375,ARF1,23013.966374237,-0.601801647637911,0.134615573626482,-4.47052024833123,7.80295556613656e-06,4.8110036491211e-05
84232,MAF1,5542.51496213271,-0.602928170285379,0.220992540108018,-2.72827385933786,0.00636667270934209,0.0171653841380059
