gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
677767,SCARNA7,210.144719183625,13.3710221387986,0.687270817326717,19.4552450092497,2.63092590249656e-84,2.86215505681599e-81
692148,SCARNA10,373.274780040498,13.2138657203132,0.644257669414105,20.510218733337,1.74507862732587e-93,2.83536757085107e-90
160419,C12orf50,45.4521312977522,12.6964820145174,0.709368555607949,17.8982870246288,1.21605063816841e-71,6.43586583692267e-69
6144,RPL21,323.541603365047,12.3033023280714,0.43522810319948,28.2686302599178,8.40188778742174e-176,8.22628833266462e-172
8362,H4C12,26.0351341278706,12.2255482040905,0.611394362179365,19.9961742540634,5.94626354773075e-89,7.27748329947897e-86
6023,RMRP,2038.58366665711,12.1290292589028,0.647930118939003,18.7196564943829,3.42351756492134e-78,2.48293781319591e-75
8361,H4C6,13.4315298472449,11.9447252179704,1.12015997474694,10.6634101264588,1.50958693313271e-26,1.62421600684642e-24
85495,RPPH1,2818.99232447003,11.834573615966,0.658287272172176,17.9778253602185,2.9067146716362e-72,1.62626533428514e-69
3024,H1-1,20.718090637091,11.6324002156996,0.859966663919242,13.5265710913557,1.08990010079311e-41,2.22316914309695e-39
8368,H4C13,15.0443455130284,11.5307891486835,0.821825379649573,14.0307046170809,1.01141648854026e-44,2.30297182309248e-42
677775,SCARNA5,31.9705765092151,11.3359053929777,0.885826621028812,12.7969798196086,1.70452380107874e-37,3.11943785726392e-35
254958,REXO1L1P,22.2906292816511,10.9401733409909,1.29302691531297,8.46090147964388,2.65318481142234e-17,1.32200165336571e-15
8346,H2BC10,39.2124089490578,10.9234869408074,0.604361557489231,18.0744238369299,5.06820164962385e-73,2.91898602067454e-70
8364,H4C3,57.9515779058967,10.9108013412857,0.461658049594963,23.6339458412094,1.72635223442233e-123,5.63423824240968e-120
389177,TMEM212,29.4453905257416,10.8527677943768,1.45564072477616,7.45566375662218,8.94165181873107e-14,2.82411977281277e-12
8360,H4C4,55.5075296462902,10.8041125126041,0.468922386130946,23.0403001267401,1.84011807059653e-117,4.50414900730267e-114
677796,SNORA5C,4.03008799738379,10.6820528199635,2.02942017985963,5.26359840410296,1.41262841936408e-07,1.36333611177859e-06
85235,H2AC12,68.8261235112278,10.5672525729613,0.593779475335754,17.7965945471356,7.50989555822809e-71,3.58679938588347e-68
3018,H2BC3,11.8767313704257,10.5321825794172,0.744990900112222,14.1373305067629,2.23606974021266e-45,5.33984361620051e-43
8342,H2BC14,50.3861364598647,10.4948839462906,0.768475110283318,13.6567649437876,1.83977173194496e-42,3.79225368999433e-40
8340,H2BC13,107.756811741858,10.4783649680967,0.439819518753617,23.8242381734008,1.87334461746371e-125,7.33676685983489e-122
8354,H3C11,27.2526882492495,10.4290259590793,0.58527800385266,17.8189268867598,5.03939636748994e-71,2.4670364917047e-68
8366,H4C2,23.2893974833872,10.3606628045602,0.73934570195547,14.01328604083,1.29281875150413e-44,2.87681554454022e-42
8367,H4C5,108.557146407915,10.2983525857445,0.530380756775077,19.4169046561239,5.5538097956822e-84,5.72393175889731e-81
677772,SCARNA6,12.444673739373,10.2472827036937,0.679849122876146,15.0728777296085,2.44238679678697e-51,6.5516189389976e-49
8359,H4C1,10.3684074302647,10.1895821245909,0.722006934231346,14.1128590896967,3.16482057020722e-45,7.46668872359009e-43
3009,H1-5,175.801965212397,10.1635547136773,0.56731657882463,17.9151378490193,8.98463052661891e-72,4.88713986034032e-69
8968,H3C7,60.6687824913586,10.1242914994251,0.538590585783732,18.7977505858049,7.87875561488257e-79,5.93391509425502e-76
8358,H3C2,60.4818166537898,10.1152021432555,0.578644632770779,17.4808536542021,2.00475210222693e-68,9.12954782925762e-66
8331,H2AC14,60.5853408638127,10.0051456457914,0.636439511437835,15.7204973386834,1.09461072968545e-55,3.63299445910178e-53
8352,H3C3,84.2234555906539,9.86513833792048,0.636800780260802,15.4917183579458,3.94601024011718e-54,1.2265201987615e-51
149992,ANKRD30BP2,2.75794313998038,9.7376261238869,1.89916971306471,5.12730697888667,2.93916063359417e-07,2.64133288329697e-06
8332,H2AC16,60.6513314827986,9.58671185747919,0.512316556754916,18.7124771414821,3.91736499403566e-78,2.73963718975737e-75
677766,SCARNA2,80.7664567486589,9.50035456279809,0.569977717345508,16.6679402960575,2.24187552690996e-62,8.95926664652058e-60
3008,H1-4,221.185742532438,9.47060415249007,0.530643307996395,17.8474014649298,3.02801607908095e-71,1.52037463745034e-68
317772,H2AC21,14.2550666036236,9.38361433490701,0.513865976443597,18.2608204572131,1.69721574737324e-74,1.00711753833524e-71
126961,H3C14,97.5647371194364,9.34622748528609,0.505787493238629,18.4785658210741,3.07240109780509e-76,2.07461235507652e-73
692086,SNORD17,65.1180287596137,9.33815726460946,0.50582247141556,18.4613333576825,4.22774904710064e-76,2.75959272801082e-73
8356,H3C12,35.2236348773468,9.28885072081791,0.550776024396212,16.8650237290209,8.13694332935768e-64,3.31953383907254e-61
3007,H1-3,110.961461392463,9.16208326160906,0.612057637459349,14.9693144907739,1.16516041403062e-50,3.08326638210102e-48
3013,H2AC7,52.8918200758405,9.02175222649127,0.702573769238655,12.841003495288,9.66139512683492e-38,1.80180418451125e-35
8350,H3C1,17.8600413186352,8.93749358497442,0.560536063257898,15.9445469628283,3.10886471971546e-57,1.08710337395479e-54
723961,INS-IGF2,20.9157351632801,8.82900079858712,0.966175686651749,9.13809043279048,6.35647701179351e-20,4.09449121200462e-18
100158262,SCARNA9L,2.2750396600779,8.75133837067815,0.808785086019596,10.8203508224262,2.75719942221216e-27,3.17596935798579e-25
